Name,Meaning,ReversedMeaning
The Fool,"New beginnings, taking a leap of faith","Recklessness, naivety"
The Magician,"Skill, creativity, resourcefulness","Manipulation, lack of focus"
The High Priestess,"Intuition, mystery, wisdom","Secrets, disconnected from intuition"
The Empress,"Abundance, nurturing, creativity","Dependence, stagnation, neglect"
The Emperor,"Authority, stability, structure","Domineering, rigidity"
The Hierophant,"Tradition, guidance, teaching","Rebellion, unconventional thinking"
The Lovers,"Love, choices, partnership","Disharmony, imbalance"
The Chariot,"Determination, willpower, triumph","Lack of control, obstacles"
Strength,"Courage, patience, inner strength","Self-doubt, weakness"
The Hermit,"Reflection, solitude, guidance","Isolation, loneliness"
Wheel of Fortune,"Change, cycles, luck","Bad luck, resistance to change"
Justice,"Fairness, balance, truth","Dishonesty, unfairness"
The Hanged Man,"Letting go, new perspective","Stalling, indecision"
Death,"Transformation, endings, renewal","Resistance to change, stagnation"
Temperance,"Balance, moderation, harmony","Excess, imbalance"
The Devil,"Temptation, attachment, materialism","Freedom, breaking chains"
The Tower,"Sudden change, upheaval","Avoidance of disaster, fear of change"
The Star,"Hope, inspiration, guidance","Lack of faith, discouragement"
The Moon,"Intuition, illusion, subconscious","Confusion, deception"
The Sun,"Success, vitality, clarity","Temporary setbacks, delays"
Judgment,"Renewal, awakening, reflection","Self-doubt, ignoring call"
The World,"Completion, achievement, wholeness","Incomplete, delays, lack of closure"
Ace of Cups,"New emotional beginnings, love, joy","Blocked emotions, missed opportunity"
Two of Cups,"Partnership, harmony, mutual attraction","Breakup, imbalance"
Three of Cups,"Friendship, celebration, community","Overindulgence, gossip"
Four of Cups,"Contemplation, reevaluation, apathy","Boredom, missed opportunity"
Five of Cups,"Loss, grief, regret","Acceptance, moving on"
Six of Cups,"Nostalgia, childhood, kindness","Stuck in the past, unrealistic"
Seven of Cups,"Choices, imagination, wishful thinking","Confusion, poor decisions"
Eight of Cups,"Walking away, introspection, change","Avoiding change, stagnation"
Nine of Cups,"Contentment, satisfaction, wish fulfillment","Greed, dissatisfaction"
Ten of Cups,"Happiness, family, emotional fulfillment","Broken dreams, family issues"
Page of Cups,"Curiosity, creativity, emotional beginnings","Immaturity, emotional insecurity"
Knight of Cups,"Romance, charm, idealism","Overly emotional, unrealistic"
Queen of Cups,"Compassion, intuition, emotional security","Emotional dependence, insecurity"
King of Cups,"Balance, diplomacy, generosity","Manipulation, emotional volatility"
Ace of Wands,"New inspiration, growth, potential","Delays, lack of direction"
Two of Wands,"Planning, decisions, progress","Fear of change, indecision"
Three of Wands,"Expansion, foresight, leadership","Obstacles, delays"
Four of Wands,"Celebration, harmony, home","Conflict, instability"
Five of Wands,"Competition, conflict, challenge","Avoiding conflict, compromise"
Six of Wands,"Victory, recognition, success","Ego, lack of recognition"
Seven of Wands,"Defense, perseverance, courage","Giving up, overwhelmed"
Eight of Wands,"Movement, speed, action","Delays, miscommunication"
Nine of Wands,"Persistence, resilience, stamina","Exhaustion, defensiveness"
Ten of Wands,"Burden, responsibility, hard work","Overwhelm, release"
Page of Wands,"Exploration, enthusiasm, discovery","Lack of direction, setbacks"
Knight of Wands,"Adventure, passion, energy","Recklessness, haste"
Queen of Wands,"Confidence, warmth, determination","Jealousy, selfishness"
King of Wands,"Leadership, vision, honor","Impulsiveness, domination"
Ace of Swords,"Clarity, truth, breakthroughs","Confusion, miscommunication"
Two of Swords,"Indecision, stalemate, choices","Avoidance, misinformation"
Three of Swords,"Heartbreak, sorrow, grief","Recovery, forgiveness"
Four of Swords,"Rest, recuperation, contemplation","Restlessness, burnout"
Five of Swords,"Conflict, loss, defeat","Reconciliation, compromise"
Six of Swords,"Transition, recovery, travel","Stagnation, unresolved issues"
Seven of Swords,"Strategy, cunning, stealth","Deception, getting caught"
Eight of Swords,"Restriction, limitation, fear","Freedom, self-imposed limitations"
Nine of Swords,"Anxiety, worry, nightmares","Relief, hope, recovery"
Ten of Swords,"Endings, betrayal, loss","Recovery, regeneration"
Page of Swords,"Curiosity, alertness, communication","Gossip, manipulation"
Knight of Swords,"Action, ambition, drive","Impulsiveness, recklessness"
Queen of Swords,"Independence, clarity, perception","Coldness, bitterness"
King of Swords,"Intellect, authority, truth","Manipulation, cruelty"
Ace of Pentacles,"New opportunity, prosperity, manifestation","Missed opportunity, greed"
Two of Pentacles,"Balance, adaptability, multitasking","Overwhelm, disorganization"
Three of Pentacles,"Collaboration, teamwork, skill","Lack of cooperation, poor quality"
Four of Pentacles,"Stability, security, control","Stinginess, rigidity"
Five of Pentacles,"Financial loss, hardship, isolation","Recovery, help, support"
Six of Pentacles,"Generosity, giving and receiving, charity","Debt, selfishness"
Seven of Pentacles,"Patience, evaluation, long-term view","Impatience, wasted effort"
Eight of Pentacles,"Hard work, dedication, skill development","Mediocrity, shortcuts"
Nine of Pentacles,"Independence, achievement, luxury","Overindulgence, dependence"
Ten of Pentacles,"Wealth, family, legacy","Financial failure, instability"
Page of Pentacles,"Study, manifestation, opportunity","Lack of progress, distraction"
Knight of Pentacles,"Responsibility, routine, patience","Stubbornness, laziness"
Queen of Pentacles,"Nurturing, practical, resourceful","Neglect, self-centeredness"
King of Pentacles,"Stability, abundance, leadership","Greed, corruption"